sale_id,employee_id,customer_id,product_name,quantity,unit_price,sale_date,region
2001,1004,5001,Laptop,2,1200.00,2024-01-15,North
2002,1008,5002,Mouse,5,25.00,2024-01-16,South
2003,1004,5003,Keyboard,3,75.00,2024-01-17,North
2004,1008,5004,Monitor,1,350.00,2024-01-18,South
2005,1004,5005,Laptop,1,1200.00,2024-01-19,North
2006,1008,5006,Tablet,2,500.00,2024-01-20,South
2007,1004,5007,Phone,3,800.00,2024-01-21,North
2008,1008,5008,Headphones,4,150.00,2024-01-22,South
2009,1004,5009,Camera,1,600.00,2024-01-23,North
2010,1008,5010,Printer,1,300.00,2024-01-24,South
